,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002452.SZ,工业,中小企业板,否,2010,25.88,25000000,45270000,华泰联合证券有限责任公司,"网下询价,上网定价",21,16.30602782,81.46164
002453.SZ,材料,中小企业板,否,2010,14.96,30000000,44530000,平安证券股份有限公司,"网下询价,上网定价",21,45.92245989,88.65780833
002454.SZ,可选消费,中小企业板,否,2010,18.2,60000000,63729149,国元证券股份有限公司,"网下询价,上网定价",21,22.8021978,82.46201875
002455.SZ,材料,中小企业板,否,2010,20,22000000,33453200,广发证券股份有限公司,"网下询价,上网定价",21,64.95,82.76022159
002456.SZ,信息技术,中小企业板,否,2010,30,24000000,49086000,中银国际证券股份有限公司,"网下询价,上网定价",21,54.33333333,86.24381771
002457.SZ,材料,中小企业板,否,2010,25,35000000,35346700,广发证券股份有限公司,"网下询价,上网定价",21,29.2,84.05136071
002458.SZ,日常消费,中小企业板,否,2010,24,27000000,52795102.5,安信证券股份有限公司,"网下询价,上网定价",21,50.25,81.61059259
002459.SZ,工业,中小企业板,否,2010,22.46,43000000,64877000,海通证券股份有限公司,"网下询价,上网定价",21,62.5111309,88.80261628
002460.SZ,材料,中小企业板,否,2010,20.7,25000000,38753504.7,兴业证券股份有限公司,"网下询价,上网定价",21,185.9903382,85.262725
002461.SZ,日常消费,中小企业板,否,2010,5.8,70000000,27886867.32,广州证券股份有限公司,"网下询价,上网定价",22,177.2413793,91.068975
002462.SZ,医疗保健,中小企业板,否,2010,12,40000000,44986000,华泰联合证券有限责任公司,"网下询价,上网定价",22,75.91666667,77.71990625
002463.SZ,信息技术,中小企业板,否,2010,16,80000000,51964800,东莞证券股份有限公司,"网下询价,上网定价",22,26.375,75.98877656
002464.SZ,信息技术,中小企业板,否,2010,15.5,35000000,40624480,华泰联合证券有限责任公司,"网下询价,上网定价",21,107.7419355,86.400925
002465.SZ,信息技术,中小企业板,否,2010,38,85000000,86856321.51,中国银河证券股份有限公司,"网下询价,上网定价",21,31.39473684,79.52545735
002466.SZ,材料,中小企业板,否,2010,30,24500000,57433252.8,国金证券股份有限公司,"网下询价,上网定价",21,176.8333333,86.30961224
002467.SZ,电信服务,中小企业板,否,2010,26,30000000,30490100,国信证券股份有限公司,"网下询价,上网定价",22,59.57692308,78.968125
002468.SZ,工业,中小企业板,是,2010,12.5,40000000,26458270.86,中国中投证券有限责任公司,"网下询价,上网定价",22,235.04,91.722525
002469.SZ,工业,中小企业板,否,2010,33.93,16600000,39912656.73,华泰联合证券有限责任公司,"网下询价,上网定价",22,80.37135279,83.31924699
002470.SZ,材料,中小企业板,否,2010,15,100000000,96858800,平安证券股份有限公司,"网下询价,上网定价",22,85.33333333,85.33182
002471.SZ,工业,中小企业板,否,2010,14.8,40000000,29845103.04,东北证券股份有限公司,"网下询价,上网定价",21,121.6216216,84.02107813
002472.SZ,工业,中小企业板,否,2010,28,30000000,67220016.89,中国中投证券有限责任公司,"网下询价,上网定价",21,60.82142857,74.10095417
002473.SZ,可选消费,中小企业板,否,2010,16,20000000,39159813,平安证券股份有限公司,"网下询价,上网定价",21,185.0625,84.89630625
002474.SZ,信息技术,中小企业板,否,2010,37,26000000,56336800,国金证券股份有限公司,"网下询价,上网定价",22,25.97297297,73.67660577
