,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_PUBOFFRDATE,IPO_LEADUNDR,IPO_TYPE,IPO_NPCTCHANGE,IPO_PCTCHANGE,IPO_TURN,IPO_NTURN
002359.SZ,工业,中小企业板,否,2010/2/10 0:00,16.98,27500000,30526500,2010/1/22 0:00,东海证券股份有限公司,"网下询价,上网定价",11.01272828,6.419316843,59.57751364,2.904349327
002360.SZ,材料,中小企业板,否,2010/3/3 0:00,23.98,15000000,29330513,2010/2/2 0:00,中德证券有限责任公司,"网下询价,上网定价",-2.802777064,62.17681401,84.32835833,3.412073374
002361.SZ,材料,中小企业板,否,2010/3/3 0:00,17,20000000,34130000,2010/2/2 0:00,平安证券股份有限公司,"网下询价,上网定价",11.53846154,66.70588235,85.47486875,4.183553696
002362.SZ,信息技术,中小企业板,否,2010/3/3 0:00,41.9,27000000,55299800,2010/2/2 0:00,中德证券有限责任公司,"网下询价,上网定价",19.10851297,95.96658711,85.59090741,3.048299074
002363.SZ,可选消费,中小企业板,否,2010/3/5 0:00,18,30000000,31040000,2010/2/5 0:00,民生证券股份有限公司,"网下询价,上网定价",-7.846853677,46.55555556,77.80675833,2.525340796
002364.SZ,工业,中小企业板,否,2010/3/5 0:00,22.35,16800000,28516429.86,2010/2/5 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",-9.070247934,116.5548098,89.43723214,3.782204628
002365.SZ,医疗保健,中小企业板,否,2010/3/5 0:00,31,23500000,41848500,2010/2/5 0:00,国信证券股份有限公司,"网下询价,上网定价",-7.003444317,40.48387097,73.21601064,2.753973722
002366.SZ,工业,中小企业板,是,2010/3/12 0:00,15,33500000,39064500,2010/2/10 0:00,西南证券股份有限公司,"网下询价,上网定价",-7.18907261,85.46666667,88.92871642,3.045335054
002367.SZ,工业,中小企业板,否,2010/3/12 0:00,27.1,33500000,65181767,2010/2/10 0:00,东吴证券股份有限公司,"网下询价,上网定价",-0.60224473,34.79704797,80.69970522,3.092054605
002368.SZ,信息技术,中小企业板,否,2010/3/12 0:00,29,25000000,53950800,2010/2/10 0:00,招商证券股份有限公司,"网下询价,上网定价",-8.935392792,107.6206897,84.392515,2.791243315
002369.SZ,信息技术,中小企业板,否,2010/3/16 0:00,22.58,25000000,34235000,2010/2/23 0:00,申万宏源证券有限公司,"网下询价,上网定价",22.03947368,34.63241807,74.642755,4.308587551
002370.SZ,医疗保健,中小企业板,否,2010/3/16 0:00,16,30000000,37998794.74,2010/2/23 0:00,东方证券股份有限公司,"网下询价,上网定价",5.43528328,35.6875,68.1282875,2.982372999
002371.SZ,信息技术,中小企业板,否,2010/3/16 0:00,33,16560000,29842304.4,2010/2/23 0:00,中信建投证券股份有限公司,"网下询价,上网定价",10.03389831,78.78787879,83.58805857,3.569706202
002372.SZ,工业,中小企业板,否,2010/3/18 0:00,17.97,63400000,48025159.75,2010/2/26 0:00,东北证券股份有限公司,"网下询价,上网定价",12.2334004,38.28603228,79.1214097,3.653833866
002373.SZ,信息技术,中小企业板,是,2010/3/18 0:00,28,17500000,30713670,2010/2/26 0:00,华龙证券股份有限公司,"网下询价,上网定价",6.718130607,71.17857143,75.51129286,2.801123142
002374.SZ,工业,中小企业板,否,2010/3/18 0:00,23.8,13500000,24415386.55,2010/2/26 0:00,宏源证券股份有限公司,"网下询价,上网定价",6.856982928,50.12605042,74.85575926,3.40423131
002375.SZ,工业,中小企业板,否,2010/3/23 0:00,31.86,53000000,67948800,2010/3/4 0:00,上海华信证券有限责任公司,"网下询价,上网定价",15.57814485,23.50910232,71.57789858,3.30843091
002376.SZ,信息技术,中小企业板,否,2010/3/23 0:00,22.58,38000000,63021069,2010/3/4 0:00,平安证券股份有限公司,"网下询价,上网定价",40.19715225,61.7360496,83.44863816,4.044465065
002377.SZ,材料,中小企业板,否,2010/3/23 0:00,19.8,27000000,38700000,2010/3/4 0:00,新时代证券股份有限公司,"网下询价,上网定价",11.29092962,34.19191919,70.78331481,3.561280012
002378.SZ,材料,中小企业板,否,2010/3/31 0:00,13,43000000,49307376.03,2010/3/11 0:00,平安证券股份有限公司,"网下询价,上网定价",23.79839786,130.4615385,85.34805814,3.575238705
002379.SZ,材料,中小企业板,否,2010/3/31 0:00,33,19500000,46470500,2010/3/11 0:00,国信证券股份有限公司,"网下询价,上网定价",-8,51.51515152,73.76999359,3.146147013
002380.SZ,工业,中小企业板,否,2010/3/31 0:00,39,17000000,39523000,2010/3/11 0:00,广发证券股份有限公司,"网下询价,上网定价",-6.121399177,99.38461538,84.40730147,3.33617115
002381.SZ,材料,中小企业板,否,2010/4/2 0:00,32,20000000,92374000,2010/3/16 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",-15.2132945,82.40625,80.526625,3.182938337
002382.SZ,医疗保健,中小企业板,否,2010/4/2 0:00,35,20000000,52812593.7,2010/3/16 0:00,国元证券股份有限公司,"网下询价,上网定价",-14.51640612,66.31428571,77.6267625,2.911887407
002383.SZ,工业,中小企业板,否,2010/4/2 0:00,37,30000000,60724700,2010/3/16 0:00,招商证券股份有限公司,"网下询价,上网定价",-5.081967213,147.2972973,79.675675,3.424277306
002384.SZ,信息技术,中小企业板,否,2010/4/9 0:00,26,40000000,81176200,2010/3/19 0:00,平安证券股份有限公司,"网下询价,上网定价",-15.19333046,167.5769231,83.871525,2.937226534
002385.SZ,日常消费,中小企业板,否,2010/4/9 0:00,35,60800000,110200300.1,2010/3/19 0:00,平安证券股份有限公司,"网下询价,上网定价",-1.941264311,72.2,72.22034128,2.938483953
002386.SZ,材料,中小企业板,否,2010/4/9 0:00,15.36,100000000,81115600,2010/3/19 0:00,宏源证券股份有限公司,"网下询价,上网定价",-16.54798237,91.9921875,75.5447425,2.41995573
002387.SZ,信息技术,中小企业板,否,2010/4/13 0:00,27,33500000,49614009.1,2010/3/23 0:00,国金证券股份有限公司,"网下询价,上网定价",-13.72109078,114.5925926,82.59566418,2.804626465
002388.SZ,信息技术,中小企业板,否,2010/4/13 0:00,15,28000000,35663000,2010/3/23 0:00,招商证券股份有限公司,"网下询价,上网定价",-29.12966252,275.3333333,85.26605357,2.653523445
002389.SZ,工业,中小企业板,否,2010/4/13 0:00,30,17000000,32850000,2010/3/23 0:00,华林证券股份有限公司,"网下询价,上网定价",-23.75305623,172.6666667,82.06039706,2.57902813
002390.SZ,医疗保健,中小企业板,否,2010/4/16 0:00,33,21700000,54764522.4,2010/3/26 0:00,民生证券股份有限公司,"网下询价,上网定价",-6.594450779,59.45454545,67.76288018,2.896700859
002391.SZ,材料,中小企业板,否,2010/4/16 0:00,51,25000000,72000000,2010/3/26 0:00,光大证券股份有限公司,"网下询价,上网定价",-24.66216216,45.09803922,68.59697,2.217592716
002392.SZ,材料,中小企业板,否,2010/4/23 0:00,42,33750000,84087300,2010/4/2 0:00,民生证券股份有限公司,"网下询价,上网定价",-25.32555879,22.5,56.1189,1.540823698
002393.SZ,医疗保健,中小企业板,否,2010/4/23 0:00,45,46000000,69994100,2010/4/2 0:00,渤海证券股份有限公司,"网下询价,上网定价",-18.88507719,29.55555556,54.01634783,1.921037078
002394.SZ,可选消费,中小企业板,否,2010/4/23 0:00,45,27000000,61040000,2010/4/2 0:00,第一创业证券股份有限公司,"网下询价,上网定价",-31.96774194,37.77777778,66.92921759,1.991626382
002395.SZ,材料,中小企业板,否,2010/4/29 0:00,25,22500000,33232153,2010/4/9 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",-33.73219373,40.4,75.27646667,2.523895979
002396.SZ,信息技术,中小企业板,否,2010/6/23 0:00,23.2,44000000,35670000,2010/5/28 0:00,广发证券股份有限公司,"网下询价,上网定价",-19.98066387,33.75,85.14450568,2.743479013
002397.SZ,可选消费,中小企业板,否,2010/4/29 0:00,51,16000000,51503900,2010/4/9 0:00,国信证券股份有限公司,"网下询价,上网定价",-26.04287851,17.98039216,67.56042969,1.920852184
002398.SZ,材料,中小企业板,否,2010/5/6 0:00,28,30000000,36986600,2010/4/16 0:00,广发证券股份有限公司,"网下询价,上网定价",-18.89464594,3.392857143,53.45170833,1.348849654
002399.SZ,医疗保健,中小企业板,否,2010/5/6 0:00,148,40100000,217995809.2,2010/4/16 0:00,中国中投证券有限责任公司,"网下询价,上网定价",-20.81977508,18.35810811,70.01550779,2.245640993
002400.SZ,可选消费,中小企业板,否,2010/5/6 0:00,39.8,20600000,41342033.02,2010/4/16 0:00,德邦证券股份有限公司,"网下询价,上网定价",-16.22298066,10.42713568,67.40767597,2.149151087
002401.SZ,信息技术,中小企业板,否,2010/5/6 0:00,26.4,13300000,23713800,2010/4/16 0:00,国融证券股份有限公司,"网下询价,上网定价",-15.68888889,70.45454545,86.26642857,3.796228409
002402.SZ,信息技术,中小企业板,否,2010/5/11 0:00,35,16700000,43556300,2010/4/20 0:00,国信证券股份有限公司,"网下询价,上网定价",-19.64778273,34.65714286,85.94031437,3.397805452
002403.SZ,可选消费,中小企业板,否,2010/5/11 0:00,18.8,60000000,45382000,2010/4/20 0:00,宏源证券股份有限公司,"网下询价,上网定价",-6.964380649,0.053191489,56.31236458,1.760622621
002404.SZ,可选消费,中小企业板,否,2010/5/11 0:00,22,33500000,44800000,2010/4/20 0:00,光大证券股份有限公司,"网下询价,上网定价",-8.758109361,-1.909090909,52.61518284,1.769398689
002405.SZ,信息技术,中小企业板,否,2010/5/18 0:00,25.6,56000000,65827015.41,2010/4/23 0:00,中信建投证券股份有限公司,"网下询价,上网定价",25.13034411,12.3828125,73.55589063,3.600635529
002406.SZ,可选消费,中小企业板,否,2010/5/18 0:00,26.6,47000000,35300400,2010/4/23 0:00,中原证券股份有限公司,"网下询价,上网定价",0.56247489,-6.428571429,29.00602394,1.752414227
002407.SZ,材料,中小企业板,否,2010/5/18 0:00,39.39,27000000,72681627,2010/4/23 0:00,平安证券股份有限公司,"网下询价,上网定价",25.55466453,-5.026656512,32.21886574,3.769729614
002408.SZ,材料,中小企业板,否,2010/5/18 0:00,28.88,65000000,110267060,2010/4/23 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",1.535580524,-7.548476454,29.11269423,1.900242925
002409.SZ,材料,中小企业板,否,2010/5/25 0:00,30,28000000,54328100,2010/4/30 0:00,华泰证券股份有限公司,"网下询价,上网定价",-14.57886677,8.833333333,67.49571429,2.225457668
002410.SZ,信息技术,中小企业板,否,2010/5/25 0:00,58,25000000,82420000,2010/4/30 0:00,华泰证券股份有限公司,"网下询价,上网定价",-9.596048686,-2.25862069,33.57681,1.146932244
002411.SZ,医疗保健,中小企业板,是,2010/5/25 0:00,25.8,21800000,38736600,2010/4/30 0:00,广发证券股份有限公司,"网下询价,上网定价",-22.13740458,52.3255814,88.30692087,3.576851845
002412.SZ,医疗保健,中小企业板,否,2010/5/25 0:00,35.8,19000000,31716500,2010/4/30 0:00,宏源证券股份有限公司,"网下询价,上网定价",-12.67083623,20.58659218,79.26113816,2.759564161
002413.SZ,工业,中小企业板,否,2010/5/28 0:00,18,37000000,21253300,2010/5/7 0:00,中航证券有限公司,"网下询价,上网定价",-9.923298178,15.88888889,71.49970608,2.360063791
002414.SZ,信息技术,中小企业板,否,2010/7/16 0:00,26,75000000,98721422.43,2010/6/25 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",17.35374951,-2.038461538,38.12331,2.518453598
002415.SZ,信息技术,中小企业板,否,2010/5/28 0:00,68,50000000,62479000,2010/5/7 0:00,招商证券股份有限公司,"网下询价,上网定价",1.916269987,20.48529412,85.245885,2.663918018
002416.SZ,信息技术,中小企业板,否,2010/5/28 0:00,45,50000000,117292167.7,2010/5/7 0:00,平安证券股份有限公司,"网下询价,上网定价",-2.369020501,-2.444444444,26.40752,0.918581069
002417.SZ,金融,中小企业板,否,2010/6/1 0:00,20,30000000,53769030,2010/5/11 0:00,太平洋证券股份有限公司,"网下询价,上网定价",-3.198720512,25.05,78.23704583,3.296209812
002418.SZ,工业,中小企业板,否,2010/6/1 0:00,19.98,36000000,59055259.31,2010/5/11 0:00,国金证券股份有限公司,"网下询价,上网定价",6.945917285,-5.605605606,24.54917361,1.309726954
002419.SZ,可选消费,中小企业板,否,2010/6/1 0:00,40,50100000,90671900,2010/5/11 0:00,招商证券股份有限公司,"网下询价,上网定价",1.726929304,-7.35,23.94407435,1.26723063
002420.SZ,可选消费,中小企业板,否,2010/6/1 0:00,13.8,63000000,56309545.23,2010/5/11 0:00,国金证券股份有限公司,"网下询价,上网定价",-8.265582656,6.956521739,73.00095635,3.013851166
002421.SZ,信息技术,中小企业板,否,2010/6/3 0:00,20.5,20000000,24600620.11,2010/5/14 0:00,中国中投证券有限责任公司,"网下询价,上网定价",19.98087954,53.07317073,88.23135,4.188823223
002422.SZ,医疗保健,中小企业板,否,2010/6/3 0:00,83.36,60000000,229602779,2010/5/14 0:00,国金证券股份有限公司,"网下询价,上网定价",1.40562249,7.533589251,76.345275,2.07175827
002423.SZ,工业,中小企业板,否,2010/6/3 0:00,9,79000000,37169900,2010/5/14 0:00,海通证券股份有限公司,"网下询价,上网定价",-8.250497018,11.77777778,79.55587816,3.054154396
002424.SZ,医疗保健,中小企业板,否,2010/6/3 0:00,40,37000000,98972704.59,2010/5/14 0:00,宏源证券股份有限公司,"网下询价,上网定价",5.378731804,1.325,63.01482095,3.17691946
002425.SZ,信息技术,中小企业板,否,2010/6/8 0:00,22,27000000,42075962,2010/5/18 0:00,海通证券股份有限公司,"网下询价,上网定价",1.164191088,13.22727273,80.61505093,4.112023354
002426.SZ,信息技术,中小企业板,否,2010/6/8 0:00,13.99,40100000,34883390,2010/5/18 0:00,东吴证券股份有限公司,"网下询价,上网定价",-13.73626374,30.09292352,84.99916147,3.53920126
002427.SZ,材料,中小企业板,否,2010/6/8 0:00,13.5,46000000,35763500,2010/5/18 0:00,国信证券股份有限公司,"网下询价,上网定价",-0.122850123,20.59259259,83.6045625,4.121724606
002428.SZ,材料,中小企业板,否,2010/6/8 0:00,30,32000000,61684798.92,2010/5/18 0:00,招商证券股份有限公司,"网下询价,上网定价",-17.52475248,102,89.50155859,3.438832045
002429.SZ,可选消费,中小企业板,否,2010/6/10 0:00,30,56000000,50997700,2010/5/21 0:00,国信证券股份有限公司,"网下询价,上网定价",-22.75068161,10.03333333,75.30471652,2.440526485
002430.SZ,工业,中小企业板,否,2010/6/10 0:00,18,71000000,40660000,2010/5/21 0:00,华融证券股份有限公司,"网下询价,上网定价",0.824402308,34.77777778,83.40173239,3.435235262
002431.SZ,工业,中小企业板,否,2010/6/10 0:00,45,30000000,78655227,2010/5/21 0:00,国金证券股份有限公司,"网下询价,上网定价",-16.2943104,49.2,77.34801667,2.701495647
002432.SZ,医疗保健,中小企业板,否,2010/6/10 0:00,19.38,31000000,31950000,2010/5/21 0:00,新时代证券股份有限公司,"网下询价,上网定价",-9.770762871,37.30650155,76.57204839,3.55485034
002433.SZ,医疗保健,中小企业板,否,2010/6/18 0:00,29.82,25000000,64270000,2010/5/25 0:00,广发证券股份有限公司,"网下询价,上网定价",-19.76815131,9.926224011,71.098205,2.230280638
002434.SZ,可选消费,中小企业板,否,2010/6/18 0:00,30,42500000,64785500,2010/5/25 0:00,国信证券股份有限公司,"网下询价,上网定价",-19.86542775,4.033333333,68.93465,1.857542038
002435.SZ,工业,中小企业板,否,2010/6/18 0:00,15.5,33000000,54580977.53,2010/5/25 0:00,国海证券股份有限公司,"网下询价,上网定价",-18.767507,15.16129032,73.803375,2.292514086
002436.SZ,信息技术,中小企业板,否,2010/6/18 0:00,36.5,27930000,52834700,2010/5/25 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",-17.27592743,1.178082192,61.6198532,1.709129453
002437.SZ,医疗保健,中小企业板,否,2010/6/23 0:00,50,35000000,81468400,2010/5/28 0:00,国信证券股份有限公司,"网下询价,上网定价",-9.674700826,18.66,84.40347143,2.721720219
002438.SZ,工业,中小企业板,否,2010/6/23 0:00,22,26000000,39267000,2010/5/28 0:00,华泰证券股份有限公司,"网下询价,上网定价",-14.05992756,38.04545455,87.08662981,2.934934378
002439.SZ,信息技术,中小企业板,否,2010/6/23 0:00,25,25000000,35992557.42,2010/5/28 0:00,中德证券有限责任公司,"网下询价,上网定价",-1.963840399,28.32,79.522045,4.221218586
